COUNTRY,YEAR,total_events,total_fatalities,avg_population_exposure,num_weeks_with_events,num_event_types,num_admin_regions,milex_constant_usd_m,milex_per_capita,milex_share_gdp,milex_current_usd_m,income_classification,country_id,iso_code,current_income_group,lending_category,total_events_lag1,total_events_lag2,total_fatalities_lag1,total_fatalities_lag2,milex_constant_usd_m_lag1,milex_constant_usd_m_lag2,milex_per_capita_lag1,milex_per_capita_lag2,milex_share_gdp_lag1,milex_share_gdp_lag2,total_events_pct_change,total_fatalities_pct_change,milex_constant_usd_m_pct_change,total_events_rolling3,total_fatalities_rolling3,fatalities_escalation,income_level_numeric
Jordan,2020,377,16,47426.39361702128,50,5,12,2216.985602307245,191.01695558466474,0.047045711723912545,2055.9154929577467,UM,5,JOR,Lower middle income,IBRD,842.0,795.0,25.0,20.0,2198.6214995127407,2134.291927084856,192.05298894776845,189.2639674084725,0.04566237503216273,0.04560090871171482,-0.5522565320665083,-0.36,0.008352553087729753,671.3333333333334,20.333333333333332,0,3.0
Jordan,2021,404,9,35092.61502347418,51,5,12,2316.1210834294484,198.4646757275968,0.0470182146525246,2176.760563380282,UM,5,JOR,Lower middle income,IBRD,377.0,842.0,16.0,25.0,2216.985602307245,2198.6214995127407,191.01695558466474,192.05298894776845,0.047045711723912545,0.04566237503216273,0.07161803713527859,-0.4375,0.04471633961854882,541.0,16.666666666666668,0,3.0
Jordan,2022,466,14,39863.57251908397,53,5,12,2383.246053341628,209.09746882549214,0.047983769063779984,2334.5732394366196,UM,5,JOR,Lower middle income,IBRD,404.0,377.0,9.0,16.0,2316.1210834294484,2216.985602307245,198.4646757275968,191.01695558466474,0.0470182146525246,0.047045711723912545,0.15346534653465338,0.5555555555555556,0.02898163243382279,415.6666666666667,13.0,1,3.0
Jordan,2023,463,7,43270.90731707317,49,6,12,2450.2391030452545,215.93717308938528,0.0481224565580192,2450.2391030452545,UM,5,JOR,Lower middle income,IBRD,466.0,404.0,14.0,9.0,2383.246053341628,2316.1210834294484,209.09746882549214,198.4646757275968,0.047983769063779984,0.0470182146525246,-0.006437768240343367,-0.5,0.028110001319290312,444.3333333333333,10.0,0,3.0
Jordan,2024,323,3,36456.23880597015,51,5,12,2507.179653595037,222.03466222711347,0.04800187037227218,2560.2816901408455,LM,5,JOR,Lower middle income,IBRD,463.0,466.0,7.0,14.0,2450.2391030452545,2383.246053341628,215.93717308938528,209.09746882549214,0.0481224565580192,0.047983769063779984,-0.3023758099352052,-0.5714285714285714,0.02323877309729272,417.3333333333333,8.0,0,2.0
Jordan,2025,92,9,43645.59322033898,34,6,12,,,,,LM,5,JOR,Lower middle income,IBRD,323.0,463.0,3.0,7.0,2507.179653595037,2450.2391030452545,222.03466222711347,215.93717308938528,0.04800187037227218,0.0481224565580192,-0.7151702786377709,2.0,0.0,292.6666666666667,6.333333333333333,1,2.0
Jordan,2026,30,1,,6,4,7,,,,,LM,5,JOR,Lower middle income,IBRD,92.0,323.0,9.0,3.0,,2507.179653595037,,222.03466222711347,,0.04800187037227218,-0.6739130434782609,-0.8888888888888888,0.0,148.33333333333334,4.333333333333333,0,2.0
Kuwait,2016,13,0,29301.3,12,4,4,7491.161371709841,1642.4820716846805,0.05893519442881431,6446.742131362371,H,6,KWT,High income,,,,,,,,,,,,,,,13.0,0.0,0,4.0
Kuwait,2017,4,0,13536.0,3,1,2,7726.248253721028,1656.7810222576666,0.056074453643333785,6764.636913878053,H,6,KWT,High income,,13.0,,0.0,,7491.161371709841,,1642.4820716846805,,0.05893519442881431,,-0.6923076923076923,,0.03138190066215718,8.5,0.0,0,4.0
Kuwait,2018,5,0,11572.75,4,1,2,8108.522231576209,1695.121613327762,0.05190854737287759,7165.2790595364495,H,6,KWT,High income,,4.0,13.0,0.0,0.0,7726.248253721028,7491.161371709841,1656.7810222576666,1642.4820716846805,0.056074453643333785,0.05893519442881431,0.25,,0.04947730972416986,7.333333333333333,0.0,0,4.0
